# v_mps,ax_max_mps2,ay_max_mps2
0.00E+00,3.51E+00,11.346423209326232
1.00E+00,3.51E+00,11.348363461632946
2.00E+00,3.51E+00,11.354166765779373
3.00E+00,3.52E+00,11.363824303873464
4.00E+00,3.52E+00,11.37733717551717
5.00E+00,3.53E+00,11.394709434630744
6.00E+00,3.53E+00,11.415900723624357
7.00E+00,3.54E+00,11.44096385317669
8.00E+00,3.55E+00,11.469828237736785
9.00E+00,3.56E+00,11.502494704587855
1.00E+01,3.57E+00,11.538965775783257
1.10E+01,3.58E+00,11.57920128646054
1.20E+01,3.59E+00,11.623216485962155
1.30E+01,3.61E+00,11.67095122407197
1.40E+01,3.62E+00,11.722426030723348
1.50E+01,3.63E+00,11.777583019830491
1.60E+01,3.65E+00,11.83641520831542
1.70E+01,3.67E+00,11.898876059674318
1.80E+01,3.68E+00,11.964954405341071
1.90E+01,3.70E+00,12.034605720661602
2.00E+01,3.72E+00,12.107787909831623
2.10E+01,3.74E+00,12.184537174794428
2.20E+01,3.76E+00,12.26473106566128
2.30E+01,3.78E+00,12.34834681553124
2.40E+01,3.80E+00,12.435373962091951
2.50E+01,3.83E+00,12.5257807231247
2.60E+01,3.85E+00,12.619514866437438
2.70E+01,3.87E+00,12.716531673987799
2.80E+01,3.89E+00,12.816748807856913
2.90E+01,3.92E+00,12.920086754857856
3.00E+01,3.94E+00,13.026669935450013
3.10E+01,3.96E+00,13.13624310507073
3.20E+01,3.98E+00,13.248879818299486
3.30E+01,4.01E+00,13.364459424713665
3.40E+01,4.03E+00,13.482975429564787
3.50E+01,4.05E+00,13.604290186853044
3.60E+01,4.07E+00,13.728482120717985
3.70E+01,4.09E+00,13.855283231568066
3.80E+01,4.11E+00,13.984900705395638
3.90E+01,4.13E+00,14.116936369782312
4.00E+01,4.15E+00,14.251706910936026
4.10E+01,4.17E+00,14.388761508806398
4.20E+01,4.19E+00,14.528332293439115
4.30E+01,4.21E+00,14.670201095323652
4.40E+01,4.22E+00,14.814132565097115
4.50E+01,4.24E+00,14.960489810215385
4.60E+01,4.25E+00,15.108903232865693
4.70E+01,4.26E+00,15.259257852120669
4.80E+01,4.27E+00,15.411517739278974
4.90E+01,4.28E+00,15.56563718506164
5.00E+01,4.28E+00,15.721546664287837
5.10E+01,4.28E+00,15.879132187268114
5.20E+01,4.29E+00,16.038212670135795
5.30E+01,4.29E+00,16.198520285152412
5.40E+01,4.28E+00,16.360919409287767
5.50E+01,4.28E+00,16.52417124968145
5.60E+01,4.27E+00,16.688785798738603
5.70E+01,4.26E+00,16.854190459906917
5.80E+01,4.25E+00,17.02130248051387
5.90E+01,4.23E+00,17.188812992972636
6.00E+01,4.21E+00,17.356906616639854
6.10E+01,4.19E+00,17.52575531432165
6.20E+01,4.16E+00,17.695458478057077
6.30E+01,4.13E+00,17.865975829231065
6.40E+01,4.10E+00,18.03702802735775
6.50E+01,4.06E+00,18.207949141510106
6.60E+01,4.02E+00,18.37755376016164
6.70E+01,3.97E+00,18.550038428517233
6.80E+01,3.92E+00,18.720159416476505
6.90E+01,3.86E+00,18.89194879280955
7.00E+01,3.81E+00,19.059920531739508
7.10E+01,3.74E+00,19.232029848275534
7.20E+01,3.67E+00,19.402299994682185
7.30E+01,3.59E+00,19.570716662794254
7.40E+01,3.51E+00,19.738009679516626
7.50E+01,3.43E+00,19.904545118057506
7.60E+01,3.34E+00,20.070770978835576
7.70E+01,3.24E+00,20.23645018335121
7.80E+01,3.13E+00,20.40096027584733
7.90E+01,3.02E+00,20.56201433915169
8.00E+01,2.90E+00,20.71572600830088
8.10E+01,2.78E+00,20.87840806179112
8.20E+01,2.65E+00,21.03889189833496
8.30E+01,2.51E+00,21.17943297230318
8.40E+01,2.36E+00,21.17943297230318
