Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-304.236;-1816.07;-89;
0;-304.232;-1816.29;-89;
0;-304.227;-1816.57;-89.0001;
0;-304.222;-1816.85;-89.0005;
0;-304.217;-1817.12;-89.0014;
0;-304.212;-1817.4;-89.0038;
0;-304.208;-1817.67;-89.0097;
0;-304.203;-1817.95;-89.0194;
0;-304.198;-1818.22;-89.0326;
0;-304.193;-1818.5;-89.0486;
0;-304.188;-1818.77;-89.0669;
0;-304.184;-1819.04;-89.0873;
0;-304.179;-1819.31;-89.1104;
0;-304.174;-1819.58;-89.1373;
0;-304.169;-1819.85;-89.1702;
0;-304.164;-1820.12;-89.2092;
0;-304.16;-1820.38;-89.253;
0;-304.155;-1820.65;-89.296;
0;-304.15;-1820.91;-89.3277;
0;-304.145;-1821.18;-89.3454;
0;-304.141;-1821.44;-89.3492;
0;-304.136;-1821.71;-89.3385;
0;-304.131;-1821.97;-89.3127;
0;-304.127;-1822.23;-89.2895;
0;-304.123;-1822.5;-89.2695;
0;-304.118;-1822.76;-89.2495;
0;-304.114;-1823.02;-89.2295;
0;-304.11;-1823.29;-89.21;
0;-304.105;-1823.55;-89.1909;
0;-304.101;-1823.81;-89.1724;
0;-304.097;-1824.08;-89.1542;
0;-304.092;-1824.34;-89.1363;
0;-304.088;-1824.61;-89.1187;
0;-304.084;-1824.87;-89.1018;
0;-304.08;-1825.14;-89.0868;
0;-304.075;-1825.4;-89.074;
0;-304.071;-1825.67;-89.0628;
0;-304.067;-1825.94;-89.0528;
0;-304.062;-1826.2;-89.0439;
0;-304.058;-1826.47;-89.0361;
0;-304.054;-1826.74;-89.0293;
0;-304.049;-1827.01;-89.0231;
0;-304.045;-1827.28;-89.0173;
0;-304.04;-1827.56;-89.0118;
0;-304.036;-1827.83;-89.0064;
0;-304.031;-1828.1;-89.0013;
0;-304.027;-1828.38;-88.9964;
0;-304.022;-1828.65;-88.9919;
0;-304.018;-1828.93;-88.9876;
0;-304.013;-1829.21;-88.9836;
0;-304.008;-1829.48;-88.9798;
