Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-300.975;-1841.03;-89;
0;-300.971;-1841.25;-89;
0;-300.966;-1841.53;-89;
0;-300.961;-1841.8;-88.9998;
0;-300.957;-1842.08;-88.9996;
0;-300.952;-1842.36;-88.9994;
0;-300.947;-1842.63;-88.9991;
0;-300.942;-1842.91;-88.999;
0;-300.937;-1843.19;-88.999;
0;-300.932;-1843.46;-88.999;
0;-300.928;-1843.74;-88.999;
0;-300.923;-1844.01;-88.9991;
0;-300.918;-1844.29;-88.9991;
0;-300.913;-1844.56;-88.9991;
0;-300.908;-1844.84;-88.9992;
0;-300.904;-1845.11;-88.9992;
0;-300.899;-1845.38;-88.9992;
0;-300.894;-1845.66;-88.9993;
0;-300.889;-1845.93;-88.9993;
0;-300.885;-1846.2;-88.9994;
0;-300.88;-1846.48;-88.9994;
0;-300.875;-1846.75;-88.9994;
0;-300.87;-1847.02;-88.9994;
0;-300.866;-1847.29;-88.9994;
0;-300.861;-1847.56;-88.9995;
0;-300.856;-1847.84;-88.9995;
0;-300.851;-1848.11;-88.9995;
0;-300.847;-1848.38;-88.9995;
0;-300.842;-1848.65;-88.9995;
0;-300.837;-1848.92;-88.9995;
0;-300.832;-1849.19;-88.9995;
0;-300.828;-1849.46;-88.9996;
0;-300.823;-1849.73;-88.9996;
0;-300.818;-1850;-88.9996;
0;-300.814;-1850.27;-88.9996;
0;-300.809;-1850.54;-88.9996;
0;-300.804;-1850.8;-88.9997;
0;-300.8;-1851.07;-88.9997;
0;-300.795;-1851.34;-88.9997;
0;-300.79;-1851.61;-88.9997;
0;-300.786;-1851.88;-88.9998;
0;-300.781;-1852.14;-88.9998;
0;-300.776;-1852.41;-88.9998;
0;-300.772;-1852.68;-88.9999;
0;-300.767;-1852.95;-88.9999;
0;-300.762;-1853.21;-88.9999;
0;-300.758;-1853.48;-89;
0;-300.753;-1853.74;-89;
0;-300.748;-1854.01;-89.0001;
0;-300.744;-1854.28;-89.0001;
0;-300.739;-1854.54;-89.0002;
0;-300.734;-1854.81;-89.0002;
0;-300.73;-1855.07;-89.0003;
0;-300.725;-1855.33;-89.0003;
0;-300.721;-1855.6;-89.0004;
0;-300.716;-1855.86;-89.0004;
0;-300.711;-1856.13;-89.0005;
0;-300.707;-1856.39;-89.0005;
0;-300.702;-1856.65;-89.0006;
0;-300.698;-1856.92;-89.0006;
0;-300.693;-1857.18;-89.0007;
0;-300.688;-1857.44;-89.0007;
0;-300.684;-1857.71;-89.0008;
0;-300.679;-1857.97;-89.0008;
0;-300.675;-1858.23;-89.0009;
0;-300.67;-1858.49;-89.0009;
0;-300.666;-1858.75;-89.001;
0;-300.661;-1859.01;-89.0011;
0;-300.656;-1859.28;-89.0011;
0;-300.652;-1859.54;-89.0012;
0;-300.647;-1859.8;-89.0012;
0;-300.643;-1860.06;-89.0013;
0;-300.638;-1860.32;-89.0014;
0;-300.634;-1860.58;-89.0015;
0;-300.629;-1860.84;-89.0015;
0;-300.625;-1861.1;-89.0016;
0;-300.62;-1861.36;-89.0017;
0;-300.616;-1861.62;-89.0017;
0;-300.611;-1861.88;-89.0018;
0;-300.607;-1862.13;-89.0019;
0;-300.602;-1862.39;-89.002;
0;-300.598;-1862.65;-89.002;
0;-300.593;-1862.91;-89.0021;
0;-300.589;-1863.17;-89.0022;
0;-300.584;-1863.42;-89.0022;
0;-300.58;-1863.68;-89.0023;
0;-300.575;-1863.94;-89.0024;
0;-300.571;-1864.2;-89.0024;
0;-300.566;-1864.45;-89.0025;
0;-300.562;-1864.71;-89.0026;
0;-300.557;-1864.97;-89.0027;
0;-300.553;-1865.22;-89.0027;
0;-300.548;-1865.48;-89.0028;
0;-300.544;-1865.73;-89.0029;
0;-300.54;-1865.99;-89.003;
0;-300.535;-1866.24;-89.003;
0;-300.531;-1866.5;-89.0031;
0;-300.526;-1866.75;-89.0032;
0;-300.522;-1867.01;-89.0032;
0;-300.517;-1867.26;-89.0033;
0;-300.513;-1867.52;-89.0034;
0;-300.508;-1867.77;-89.0035;
0;-300.504;-1868.03;-89.0035;
0;-300.5;-1868.28;-89.0036;
0;-300.495;-1868.53;-89.0037;
0;-300.491;-1868.79;-89.0037;
0;-300.486;-1869.04;-89.0038;
0;-300.482;-1869.29;-89.0039;
0;-300.478;-1869.54;-89.004;
0;-300.473;-1869.8;-89.004;
0;-300.469;-1870.05;-89.0041;
0;-300.464;-1870.3;-89.0042;
0;-300.46;-1870.55;-89.0042;
0;-300.456;-1870.8;-89.0043;
0;-300.451;-1871.06;-89.0044;
0;-300.447;-1871.31;-89.0045;
0;-300.443;-1871.56;-89.0045;
0;-300.438;-1871.81;-89.0046;
0;-300.434;-1872.06;-89.0047;
0;-300.43;-1872.31;-89.0047;
0;-300.425;-1872.56;-89.0048;
0;-300.421;-1872.81;-89.0049;
0;-300.417;-1873.06;-89.0049;
0;-300.412;-1873.31;-89.005;
0;-300.408;-1873.56;-89.0051;
0;-300.404;-1873.81;-89.0052;
0;-300.399;-1874.05;-89.0052;
0;-300.395;-1874.3;-89.0053;
0;-300.391;-1874.55;-89.0054;
0;-300.386;-1874.8;-89.0054;
0;-300.382;-1875.05;-89.0055;
0;-300.378;-1875.3;-89.0056;
0;-300.373;-1875.54;-89.0057;
0;-300.369;-1875.79;-89.0057;
0;-300.365;-1876.04;-89.0058;
0;-300.361;-1876.28;-89.0059;
0;-300.356;-1876.53;-89.0059;
0;-300.352;-1876.78;-89.006;
0;-300.348;-1877.02;-89.0061;
0;-300.343;-1877.27;-89.0062;
0;-300.339;-1877.52;-89.0062;
0;-300.335;-1877.76;-89.0063;
0;-300.331;-1878.01;-89.0064;
0;-300.326;-1878.25;-89.0064;
0;-300.322;-1878.5;-89.0065;
0;-300.318;-1878.74;-89.0066;
0;-300.314;-1878.99;-89.0066;
