Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-304.235;-1816.07;-89;
0;-304.231;-1816.32;-89;
0;-304.226;-1816.62;-89.0002;
0;-304.221;-1816.93;-89.0006;
0;-304.215;-1817.23;-88.9991;
0;-304.21;-1817.54;-88.9655;
0;-304.203;-1817.84;-88.8781;
0;-304.197;-1818.14;-88.7521;
0;-304.19;-1818.44;-88.5919;
0;-304.183;-1818.75;-88.3994;
0;-304.175;-1819.05;-88.1706;
0;-304.167;-1819.35;-87.9127;
0;-304.159;-1819.65;-87.6281;
0;-304.151;-1819.95;-87.3194;
0;-304.142;-1820.24;-86.9866;
0;-304.132;-1820.54;-86.636;
0;-304.123;-1820.84;-86.2696;
0;-304.113;-1821.13;-85.888;
0;-304.103;-1821.43;-85.4904;
0;-304.092;-1821.72;-85.0816;
0;-304.08;-1822.01;-84.6639;
0;-304.068;-1822.31;-84.2407;
0;-304.056;-1822.6;-83.817;
0;-304.042;-1822.89;-83.3997;
0;-304.028;-1823.18;-82.9953;
0;-304.012;-1823.47;-82.608;
0;-303.996;-1823.76;-82.241;
0;-303.978;-1824.04;-81.8886;
0;-303.959;-1824.33;-81.5481;
0;-303.939;-1824.62;-81.2154;
0;-303.918;-1824.91;-80.8859;
0;-303.895;-1825.19;-80.5453;
0;-303.872;-1825.48;-80.1908;
0;-303.849;-1825.77;-79.8362;
0;-303.825;-1826.05;-79.489;
0;-303.8;-1826.34;-79.1529;
0;-303.775;-1826.62;-78.8334;
0;-303.749;-1826.91;-78.539;
0;-303.722;-1827.2;-78.2853;
0;-303.694;-1827.48;-78.074;
0;-303.664;-1827.77;-77.8962;
0;-303.634;-1828.05;-77.75;
0;-303.602;-1828.33;-77.6513;
0;-303.568;-1828.62;-77.5636;
0;-303.533;-1828.9;-77.4835;
0;-303.497;-1829.19;-77.4325;
0;-303.46;-1829.47;-77.4327;
0;-303.422;-1829.75;-77.4484;
0;-303.382;-1830.04;-77.4744;
0;-303.341;-1830.32;-77.5133;
0;-303.299;-1830.6;-77.5685;
0;-303.257;-1830.89;-77.6373;
0;-303.213;-1831.17;-77.7197;
0;-303.169;-1831.46;-77.8232;
0;-303.124;-1831.74;-77.957;
0;-303.078;-1832.03;-78.1031;
0;-303.032;-1832.32;-78.2602;
0;-302.985;-1832.6;-78.4279;
0;-302.938;-1832.89;-78.6077;
0;-302.89;-1833.18;-78.7973;
0;-302.842;-1833.47;-78.9963;
0;-302.794;-1833.76;-79.2023;
0;-302.745;-1834.05;-79.4144;
0;-302.696;-1834.34;-79.6308;
0;-302.648;-1834.64;-79.8507;
0;-302.599;-1834.93;-80.0719;
0;-302.55;-1835.23;-80.2934;
0;-302.502;-1835.52;-80.5159;
0;-302.454;-1835.82;-80.7398;
0;-302.406;-1836.12;-80.9632;
0;-302.358;-1836.41;-81.1852;
0;-302.311;-1836.71;-81.4068;
0;-302.265;-1837.01;-81.6283;
0;-302.218;-1837.32;-81.8482;
0;-302.172;-1837.62;-82.0656;
0;-302.127;-1837.92;-82.2819;
0;-302.082;-1838.22;-82.4977;
0;-302.038;-1838.53;-82.7117;
0;-301.994;-1838.84;-82.9231;
0;-301.951;-1839.14;-83.1335;
0;-301.909;-1839.45;-83.3432;
0;-301.867;-1839.76;-83.5512;
0;-301.826;-1840.07;-83.7568;
0;-301.785;-1840.38;-83.9613;
0;-301.745;-1840.69;-84.1653;
0;-301.706;-1841;-84.3679;
0;-301.667;-1841.31;-84.5685;
0;-301.629;-1841.63;-84.7683;
0;-301.592;-1841.94;-84.9678;
0;-301.556;-1842.25;-85.1656;
0;-301.52;-1842.57;-85.3609;
0;-301.485;-1842.89;-85.5548;
0;-301.45;-1843.2;-85.7477;
0;-301.417;-1843.52;-85.9382;
0;-301.384;-1843.84;-86.1251;
0;-301.352;-1844.16;-86.3098;
0;-301.32;-1844.48;-86.4926;
0;-301.29;-1844.81;-86.672;
0;-301.26;-1845.13;-86.8465;
0;-301.231;-1845.45;-87.0177;
0;-301.202;-1845.78;-87.1861;
0;-301.175;-1846.1;-87.35;
0;-301.148;-1846.43;-87.5081;
0;-301.122;-1846.75;-87.662;
0;-301.096;-1847.08;-87.8122;
0;-301.071;-1847.41;-87.9571;
0;-301.048;-1847.74;-88.0952;
0;-301.024;-1848.07;-88.2281;
0;-301.002;-1848.4;-88.3564;
0;-300.98;-1848.73;-88.4785;
0;-300.959;-1849.07;-88.5927;
0;-300.939;-1849.4;-88.7009;
0;-300.919;-1849.73;-88.8033;
0;-300.9;-1850.07;-88.8989;
0;-300.882;-1850.41;-88.9858;
0;-300.864;-1850.74;-89.0659;
0;-300.847;-1851.08;-89.1397;
0;-300.831;-1851.42;-89.2065;
0;-300.815;-1851.76;-89.2646;
0;-300.8;-1852.1;-89.3161;
0;-300.786;-1852.44;-89.3612;
0;-300.772;-1852.78;-89.3997;
0;-300.758;-1853.13;-89.4308;
0;-300.745;-1853.47;-89.4558;
0;-300.733;-1853.81;-89.4752;
0;-300.721;-1854.16;-89.4894;
0;-300.71;-1854.51;-89.4978;
0;-300.699;-1854.85;-89.5017;
0;-300.688;-1855.2;-89.5014;
0;-300.678;-1855.55;-89.4976;
0;-300.668;-1855.9;-89.4903;
0;-300.659;-1856.25;-89.4804;
0;-300.65;-1856.6;-89.4679;
0;-300.641;-1856.95;-89.4538;
0;-300.633;-1857.31;-89.4385;
0;-300.625;-1857.66;-89.4221;
0;-300.617;-1858.02;-89.4049;
0;-300.609;-1858.37;-89.3877;
0;-300.602;-1858.73;-89.3712;
0;-300.595;-1859.08;-89.3551;
0;-300.588;-1859.44;-89.3393;
0;-300.581;-1859.8;-89.3245;
0;-300.574;-1860.16;-89.3112;
0;-300.568;-1860.52;-89.299;
0;-300.561;-1860.88;-89.2877;
0;-300.555;-1861.24;-89.278;
0;-300.549;-1861.6;-89.3002;
0;-300.544;-1861.97;-89.3543;
0;-300.538;-1862.33;-89.3937;
0;-300.533;-1862.69;-89.437;
0;-300.528;-1863.06;-89.5248;
0;-300.524;-1863.43;-89.6471;
0;-300.521;-1863.79;-89.7991;
0;-300.518;-1864.16;-89.978;
0;-300.516;-1864.53;-90.184;
0;-300.515;-1864.9;-90.4096;
0;-300.514;-1865.26;-90.6521;
0;-300.514;-1865.63;-90.9088;
0;-300.516;-1866;-91.1795;
0;-300.518;-1866.38;-91.4608;
0;-300.521;-1866.75;-91.7517;
0;-300.525;-1867.12;-92.0502;
0;-300.53;-1867.49;-92.356;
0;-300.537;-1867.86;-92.6685;
0;-300.544;-1868.24;-92.9876;
0;-300.553;-1868.61;-93.3119;
0;-300.562;-1868.99;-93.6412;
0;-300.574;-1869.36;-93.9756;
0;-300.586;-1869.74;-94.3151;
0;-300.599;-1870.11;-94.6579;
0;-300.614;-1870.49;-95.0037;
0;-300.63;-1870.87;-95.3486;
0;-300.648;-1871.24;-95.6838;
0;-300.667;-1871.62;-96.0387;
0;-300.687;-1872;-96.4353;
0;-300.707;-1872.38;-96.8431;
0;-300.728;-1872.75;-97.2583;
0;-300.749;-1873.13;-97.6733;
0;-300.772;-1873.51;-98.0764;
0;-300.795;-1873.89;-98.4594;
0;-300.82;-1874.27;-98.825;
0;-300.846;-1874.64;-99.1942;
0;-300.874;-1875.02;-99.5806;
0;-300.904;-1875.4;-99.98;
0;-300.935;-1875.78;-100.388;
0;-300.967;-1876.16;-100.798;
0;-301.002;-1876.54;-101.205;
0;-301.037;-1876.91;-101.61;
0;-301.075;-1877.29;-102.013;
0;-301.114;-1877.67;-102.41;
0;-301.154;-1878.05;-102.798;
0;-301.197;-1878.43;-103.181;
0;-301.241;-1878.81;-103.56;
0;-301.286;-1879.19;-103.928;
0;-301.333;-1879.57;-104.28;
0;-301.382;-1879.95;-104.62;
0;-301.432;-1880.34;-104.949;
0;-301.483;-1880.72;-105.245;
0;-301.536;-1881.1;-105.411;
0;-301.589;-1881.48;-105.488;
0;-301.643;-1881.86;-105.472;
0;-301.698;-1882.24;-105.371;
0;-301.754;-1882.61;-105.214;
0;-301.812;-1882.99;-105.039;
0;-301.872;-1883.37;-104.853;
0;-301.932;-1883.75;-104.653;
0;-301.994;-1884.13;-104.432;
0;-302.058;-1884.51;-104.188;
0;-302.122;-1884.89;-103.92;
0;-302.187;-1885.27;-103.628;
0;-302.253;-1885.65;-103.31;
0;-302.32;-1886.03;-102.97;
0;-302.388;-1886.41;-102.61;
0;-302.456;-1886.8;-102.235;
0;-302.524;-1887.18;-101.847;
0;-302.593;-1887.56;-101.45;
0;-302.661;-1887.95;-101.051;
